Plate	Well	GeneID	Entrez_gene_ID	sublib
1	K19	TOP2A	7153	DDR2

1	K20	RBBP8	5932	DDR2

1	K21	PER1	5187	DDR2

1	K22	XRCC2	7516	DDR2

1	K23			

1	K24			

1	L01			

1	L02			

1	L03	SETX	23064	DDR2

1	L04	RFC2	5982	DDR2

1	L05	FANCI	55215	DDR2

1	L06	RRM1	6240	DDR2

1	L07	UBE2V2	7336	DDR2

1	L08	SMARCA2	6595	DDR2

1	L09	SMUG1	23583	DDR2

1	L10	SMARCA5	8467	DDR2

1	L11	RAD21	5885	DDR2

1	L12	SMARCAL1	50485	DDR2

1	L13	RAD51B	5890	DDR2

1	L14	SMG1	23049	DDR2

1	L15	UNG	7374	DDR2

1	L16	SSRP1	6749	DDR2

1	L17	CHEK1	1111	DDR2

1	L18	SUMO1	7341	DDR2

1	L19	ATRIP	84126	DDR2

1	L20	TEX11	56159	DDR2

1	L21	DUT	1854	DDR2

1	L22	TIMELESS	8914	DDR2

1	L23			

1	L24			

1	M01			

1	M02			

1	M03	PARP3	10039	DDR2

1	M04	RECQL5	9400	DDR2

1	M05	NEIL2	252969	DDR2

1	M06	NEIL1	79661	DDR2

1	M07	REV1	51455	DDR2

1	M08	NHEJ1	79840	DDR2

1	M09	SOD1	6647	DDR2

1	M10	XRCC4	7518	DDR2

1	M11	CSNK1D	1453	DDR2

1	M12	DLGAP5	9787	DDR2

1	M13	MSH3	4437	DDR2

1	M14	EXO1	9156	DDR2

1	M15	MSH4	4438	DDR2

1	M16	ABL1	25	DDR2

1	M17	XAB2	56949	DDR2

1	M18	MPLKIP	136647	DDR2

1	M19	FANCG	2189	DDR2

1	M20	HMGB1	3146	DDR2

1	M21	ATR	545	DDR2

1	M22	RAD54B	25788	DDR2

1	M23			

1	M24			

1	N01			

1	N02			

1	N03	PNKP	11284	DDR2

1	N04	TOP2B	7155	DDR2

1	N05	BLM	641	DDR2

1	N06	TOP3A	7156	DDR2

1	N07	APEX2	27301	DDR2

1	N08	UBA1	7317	DDR2

1	N09	BRCA2	675	DDR2

1	N10	USP10	9100	DDR2

1	N11	XRCC6	2547	DDR2

1	N12	USP7	7874	DDR2

1	N13	CLK2	1196	DDR2

1	N14	ZSWIM7	125150	DDR2

1	N15	POLG	5428	DDR2

1	N16	PLK1	5347	DDR2

1	N17	BRE	9577	DDR2

1	N18	APOBEC3B	9582	DDR2

1	N19	XRCC5	7520	DDR2

1	N20	ARID1A	8289	DDR2

1	N21	RPA4	29935	DDR2

1	N22	RB1	5925	DDR2

1	N23			

1	N24			

1	O01			

1	O02			

1	O03	HELQ	113510	DDR2

1	O04	ERCC6	2074	DDR2

1	O05	RAD51D	5892	DDR2

1	O06	LIG1	3978	DDR2

1	O07	CCNO	10309	DDR2

1	O08	RPA3	6119	DDR2

1	O09	GTF2H2	2966	DDR2

1	O10	CHAF1A	10036	DDR2

1	O11	YBX1	4904	DDR2

1	O12	SPO11	23626	DDR2

1	O13	XRCC1	7515	DDR2

1	O14	DNMT1	1786	DDR2

1	O15	GTF2H1	2965	DDR2

1	O16	USP1	7398	DDR2

1	O17	ERCC5	2073	DDR2

1	O18	FANCB	2187	DDR2

1	O19	MUS81	80198	DDR2

1	O20	EME2	197342	DDR2

1	O21	UIMC1	51720	DDR2

1	O22	EYA1	2138	DDR2

1	O23			

1	O24			

1	P01			

1	P02			

1	P03	XRCC3	7517	DDR2

1	P04	WEE1	7465	DDR2

1	P05	NPM1	4869	DDR2

1	P06	ARID1B	57492	DDR2

1	P07	ASF1A	25842	DDR2

1	P08	DYRK1A	1859	DDR2

1	P09	H2AFX	3014	DDR2

1	P10	CTNNB1	1499	DDR2

1	P11	OBFC2A	64859	DDR2

1	P12	CDH1	999	DDR2

1	P13	UBE2N	7334	DDR2

1	P14	EZH2	2146	DDR2

1	P15	ERCC4	2072	DDR2

1	P16	TDG	6996	DDR2

1	P17	ERCC1	2067	DDR2

1	P18	CTIF	9811	DDR2

1	P19	RRM2	6241	DDR2

1	P20	SMARCB1	6598	DDR2

1	P21			

1	P22	SMARCA4	6597	DDR2

1	P23			

1	P24			
