Plate	Well	GeneID	Entrez_gene_ID	sublib
1	L08	TSC2	7249	WNT
1	L09	PRKACB	5567	WNT
1	L10	TSPAN12	23554	WNT
1	L11	PRKACG	5568	WNT
1	L12	USP25	29761	WNT
1	L13	PRKCA	5578	WNT
1	L14	USP28	57646	WNT
1	L15	PRKCB	5579	WNT
1	L16	VANGL1	81839	WNT
1	L17	PRKCD	5580	WNT
1	L18	VANGL2	57216	WNT
1	L19	PRKCG	5582	WNT
1	L20	VEGFA	7422	WNT
1	L21	PRKCZ	5590	WNT
1	L22	WIF1	11197	WNT
1	L23			WNT
1	L24			WNT
1	M01			WNT
1	M02			WNT
1	M03	CXXC4	80319	WNT
1	M04	LIF	3976	WNT
1	M05	CYR61	3491	WNT
1	M06	LRP5	4041	WNT
1	M07	DAAM1	23002	WNT
1	M08	LRP6	4040	WNT
1	M09	DAAM2	23500	WNT
1	M10	MAP2K7	5609	WNT
1	M11	DACT1	51339	WNT
1	M12	MAP3K1	4214	WNT
1	M13	DIS3L2	129563	WNT
1	M14	MAP3K7	6885	WNT
1	M15	DIXDC1	85458	WNT
1	M16	MAPK10	5602	WNT
1	M17	DKK1	22943	WNT
1	M18	MAPK14	1432	WNT
1	M19	DKK2	27123	WNT
1	M20	MAPK8	5599	WNT
1	M21	DKK4	27121	WNT
1	M22	MAPK9	5601	WNT
1	M23			WNT
1	M24			WNT
1	N01			WNT
1	N02			WNT
1	N03	PRKX	5613	WNT
1	N04	WNT1	7471	WNT
1	N05	PRMT1	3276	WNT
1	N06	WNT10A	80326	WNT
1	N07	PSEN1	5663	WNT
1	N08	WNT10B	7480	WNT
1	N09	PSEN2	5664	WNT
1	N10	WNT11	7481	WNT
1	N11	PTTG1	9232	WNT
1	N12	WNT16	51384	WNT
1	N13	PYGO1	26108	WNT
1	N14	WNT2	7472	WNT
1	N15	PYGO2	90780	WNT
1	N16	WNT2B	7482	WNT
1	N17	RAC1	5879	WNT
1	N18	WNT3	7473	WNT
1	N19	RAC2	5880	WNT
1	N20	WNT3A	89780	WNT
1	N21	RAC3	5881	WNT
1	N22	WNT4	54361	WNT
1	N23			WNT
1	N24			WNT
1	O01			WNT
1	O02			WNT
1	O03	DLK1	8788	WNT
1	O04	MCL1	4170	WNT
1	O05	DLL1	28514	WNT
1	O06	MED12	9968	WNT
